experiment,domain,alpha_reversed,alpha_CI_reversed,alpha_raw,alpha_CI_raw,reversed_higher
AUDIT scale,total,0.7394655618133898,[0.612 0.838],0.9347885115172434,[0.903 0.96 ],smaller
BARRAT scale,BISa,0.8305659264031195,[0.745 0.896],0.9733888111594331,[0.96  0.984],smaller
BARRAT scale,BISm,0.8306828192011194,[0.748 0.895],0.965051559676753,[0.948 0.978],smaller
BARRAT scale,BISn,0.7611341102869349,[0.644 0.852],0.9750706478042085,[0.963 0.985],smaller
BART task,total,0.9847162202479928,[0.977 0.991],0.9847162202479928,[0.977 0.991],equal
CARE scale,CAREa,0.8564117684534949,[0.785 0.911],0.8564117684534949,[0.785 0.911],equal
CARE scale,CAREs,0.6512533187707268,[0.468 0.787],0.6512533187707268,[0.468 0.787],equal
CARE scale,CAREw,0.9611342026117802,[0.939 0.977],0.9611342026117802,[0.939 0.977],equal
CCT task,total,0.9845650096459021,[0.977 0.991],0.9845650096459021,[0.977 0.991],equal
DAST scale,total,0.5038589636774068,[0.269 0.69 ],0.975666170927597,[0.964 0.985],smaller
DFD task,gain,0.9711495470532446,[0.955 0.983],0.9711495470532446,[0.955 0.983],equal
DFD task,loss,0.9752358196969537,[0.961 0.985],0.9752358196969537,[0.961 0.985],equal
DFE task,gain,0.8800812764913992,[0.803 0.932],0.8800812764913992,[0.803 0.932],equal
DFE task,loss,0.8510388100285731,[0.755 0.916],0.8510388100285731,[0.755 0.916],equal
DOSPERT scale,Ethical,0.8849770062986377,[0.827 0.929],0.9805842906157725,[0.971 0.988],smaller
DOSPERT scale,Gambling,0.7794371671714337,[0.653 0.868],0.9398180841831281,[0.905 0.964],smaller
DOSPERT scale,Health,0.555794214077986,[0.332 0.726],0.9656122986657371,[0.948 0.979],smaller
DOSPERT scale,Investment,0.6807183535470829,[0.498 0.808],0.9277947241492002,[0.886 0.957],smaller
DOSPERT scale,Recreational,0.7574820324424155,[0.635 0.851],0.9700577436099713,[0.955 0.982],smaller
DOSPERT scale,Social,0.5438414043842125,[0.314 0.719],0.9688530837425963,[0.953 0.981],smaller
Dm scale,total,0.9476384808924969,[0.923 0.967],0.97997729711368,[0.97  0.987],smaller
FTND scale,total,0.07440129732268796,[-0.401  0.431],0.8028865572554524,[0.702 0.879],smaller
GABS scale,total,0.9478628206380277,[0.923 0.967],0.9793303848242674,[0.969 0.987],smaller
LOT task,total,0.6773937445071536,[0.526 0.798],0.6773937445071536,[0.526 0.798],equal
MPL task,total,0.9196262915346226,[0.883 0.949],0.9196262915346226,[0.883 0.949],equal
PG scale,total,0.8060934991487293,[0.716 0.878],0.9596729755221145,[0.941 0.975],smaller
PRI scale,certainty,0.9260870647324616,[0.889 0.954],0.9678529086328703,[0.952 0.98 ],smaller
PRI scale,decision,0.6650771789432778,[0.496 0.794],0.9562443460003305,[0.934 0.973],smaller
SOEP scale,total,0.6299813932486554,[0.44  0.773],0.9084468332362083,[0.861 0.944],smaller
SSSV scale,SSbor,-3.1622779212691725,[-5.217 -1.578],0.973101220513683,[0.96  0.983],smaller
SSSV scale,SSdis,-0.3798987020673588,[-1.061  0.145],0.9607171881411766,[0.941 0.976],smaller
SSSV scale,SSexp,-0.149568283769871,[-0.717  0.288],0.9860399946213201,[0.979 0.991],smaller
SSSV scale,SStas,-0.6639127518285576,[-1.485 -0.031],0.9856937035068616,[0.979 0.991],smaller
