experiment,domain,alpha_reversed,alpha_CI_reversed,alpha_raw,alpha_CI_raw
AUDIT scale,total,0.8844941969289379,[0.828 0.928],0.9534537878146585,[0.931 0.971]
BARRAT scale,BISa,0.9719748778747055,[0.958 0.983],0.9900533390111597,[0.985 0.994]
BARRAT scale,BISm,0.9378139559823825,[0.907 0.961],0.9910352115637152,[0.987 0.994]
BARRAT scale,BISn,0.8852660596148545,[0.829 0.929],0.9986675267198389,[0.998 0.999]
BART task,total,0.9827687742424223,[0.975 0.989],0.9827687742424223,[0.975 0.989]
CARE scale,CAREa,0.8917352512519371,[0.838 0.933],0.8917352512519371,[0.838 0.933]
CARE scale,CAREs,0.5999663291931719,[0.39  0.755],0.5999663291931719,[0.39  0.755]
CARE scale,CAREw,0.7795891853614751,[0.653 0.868],0.7795891853614748,[0.653 0.868]
CCT task,total,0.9842211775138157,[0.976 0.991],0.9842211775138157,[0.976 0.991]
DAST scale,total,0.04305047760739822,[-0.409  0.402],0.9999407084031551,[1. 1.]
DFD task,gain,0.9959716744024896,[0.994 0.998],0.9959716744024896,[0.994 0.998]
DFD task,loss,0.9965603789519104,[0.995 0.998],0.9965603789519104,[0.995 0.998]
DFE task,gain,0.8284873393478058,[0.718 0.903],0.8284873393478058,[0.718 0.903]
DFE task,loss,0.8294603310563083,[0.72  0.903],0.8294603310563083,[0.72  0.903]
DOSPERT scale,Ethical,0.9859882190052454,[0.979 0.991],0.9933242330547456,[0.99  0.996]
DOSPERT scale,Gambling,0.9751785298366851,[0.961 0.985],0.9968011550984459,[0.995 0.998]
DOSPERT scale,Health,0.5038561805010654,[0.253 0.694],0.9900878123960772,[0.985 0.994]
DOSPERT scale,Investment,0.9938155080258071,[0.99  0.996],0.9969005640346034,[0.995 0.998]
DOSPERT scale,Recreational,0.8794840878377151,[0.819 0.926],0.9959858769046561,[0.994 0.998]
DOSPERT scale,Social,-4.630491752824845,[-7.473 -2.471],0.9948201546562071,[0.992 0.997]
Dm scale,total,0.9876361970410908,[0.982 0.992],0.9914663906160158,[0.987 0.995]
FTND scale,total,-0.3492849051255804,[-1.042  0.171],0.8856831321779409,[0.827 0.93 ]
GABS scale,total,0.988790225816812,[0.983 0.993],0.9946583634156528,[0.992 0.997]
LOT task,total,0.567657271272497,[0.365 0.729],0.567657271272497,[0.365 0.729]
MPL task,total,0.9784052136254717,[0.968 0.986],0.9784052136254717,[0.968 0.986]
PG scale,total,0.9556986328809814,[0.935 0.972],0.9704183230736166,[0.957 0.981]
PRI scale,certainty,0.9968034940567785,[0.995 0.998],0.9978669255374363,[0.997 0.999]
PRI scale,decision,0.9592755423801954,[0.939 0.975],0.9998830021146353,[1. 1.]
SOEP scale,total,0.8192705721638495,[0.726 0.889],0.9751184676683906,[0.962 0.985]
SSSV scale,SSbor,-2.7346276812586923,[-4.578 -1.313],0.9998902803431919,[1. 1.]
SSSV scale,SSdis,-1.2672383938758438,[-2.386 -0.404],0.9999112721968159,[1. 1.]
SSSV scale,SSexp,-2.559034846030148,[-4.316 -1.205],0.9998870565268551,[1. 1.]
SSSV scale,SStas,-1.3956233617866174,[-2.578 -0.484],0.9998969021168196,[1. 1.]
